"Tdif_PMMA_1fv_CaCO3 - RawData"
"Wavelength nm.","T%"
220.00,0.124
221.00,0.130
222.00,0.132
223.00,0.116
224.00,0.094
225.00,0.094
226.00,0.101
227.00,0.110
228.00,0.102
229.00,0.075
230.00,0.083
231.00,0.087
232.00,0.106
233.00,0.108
234.00,0.090
235.00,0.084
236.00,0.062
237.00,0.052
238.00,0.069
239.00,0.067
240.00,0.077
241.00,0.050
242.00,0.042
243.00,0.039
244.00,0.038
245.00,0.040
246.00,0.038
247.00,0.044
248.00,0.056
249.00,0.053
250.00,0.043
251.00,0.025
252.00,0.020
253.00,0.023
254.00,0.021
255.00,0.021
256.00,0.023
257.00,0.027
258.00,0.025
259.00,0.022
260.00,0.025
261.00,0.028
262.00,0.024
263.00,0.022
264.00,0.015
265.00,0.010
266.00,0.005
267.00,0.013
268.00,0.014
269.00,0.013
270.00,0.007
271.00,0.006
272.00,0.008
273.00,0.006
274.00,0.011
275.00,0.007
276.00,0.015
277.00,0.005
278.00,0.010
279.00,0.009
280.00,0.018
281.00,0.015
282.00,0.011
283.00,0.009
284.00,0.008
285.00,0.013
286.00,0.015
287.00,0.018
288.00,0.016
289.00,0.010
290.00,0.006
291.00,0.006
292.00,0.009
293.00,0.011
294.00,0.013
295.00,0.017
296.00,0.021
297.00,0.023
298.00,0.031
299.00,0.038
300.00,0.059
301.00,0.084
302.00,0.130
303.00,0.199
304.00,0.285
305.00,0.410
306.00,0.563
307.00,0.765
308.00,1.019
309.00,1.347
310.00,1.731
311.00,2.178
312.00,2.693
313.00,3.307
314.00,3.985
315.00,4.782
316.00,5.669
317.00,6.642
318.00,7.660
319.00,8.756
320.00,9.934
321.00,11.126
322.00,12.355
323.00,13.737
324.00,15.162
325.00,16.611
326.00,17.976
327.00,19.371
328.00,20.790
329.00,22.172
330.00,23.420
331.00,24.556
332.00,25.691
333.00,26.851
334.00,27.978
335.00,29.032
336.00,29.993
337.00,30.970
338.00,31.834
339.00,32.740
340.00,33.535
341.00,34.310
342.00,35.050
343.00,35.753
344.00,36.322
345.00,36.776
346.00,37.214
347.00,37.763
348.00,38.197
349.00,38.672
350.00,38.995
351.00,39.358
352.00,39.606
353.00,39.904
354.00,40.239
355.00,40.517
356.00,40.733
357.00,40.980
358.00,41.199
359.00,41.350
360.00,41.411
361.00,41.530
362.00,41.633
363.00,41.791
364.00,41.892
365.00,41.993
366.00,42.081
367.00,42.088
368.00,42.211
369.00,42.231
370.00,42.345
371.00,42.318
372.00,42.309
373.00,42.209
374.00,42.137
375.00,42.042
376.00,42.020
377.00,41.939
378.00,41.865
379.00,41.744
380.00,41.727
381.00,41.747
382.00,41.749
383.00,41.789
384.00,41.799
385.00,41.854
386.00,41.861
387.00,41.918
388.00,41.969
389.00,42.038
390.00,42.136
391.00,42.229
392.00,42.326
393.00,42.329
394.00,42.376
395.00,42.349
396.00,42.390
397.00,42.379
398.00,42.460
399.00,42.508
400.00,42.517
401.00,42.556
402.00,42.517
403.00,42.529
404.00,42.450
405.00,42.460
406.00,42.440
407.00,42.421
408.00,42.397
409.00,42.356
410.00,42.335
411.00,42.301
412.00,42.298
413.00,42.284
414.00,42.238
415.00,42.189
416.00,42.161
417.00,42.138
418.00,42.112
419.00,42.097
420.00,42.049
421.00,42.039
422.00,41.997
423.00,42.006
424.00,41.991
425.00,42.010
426.00,42.023
427.00,42.023
428.00,41.987
429.00,41.989
430.00,41.936
431.00,41.906
432.00,41.844
433.00,41.830
434.00,41.813
435.00,41.782
436.00,41.780
437.00,41.751
438.00,41.714
439.00,41.693
440.00,41.685
441.00,41.675
442.00,41.658
443.00,41.623
444.00,41.629
445.00,41.590
446.00,41.590
447.00,41.596
448.00,41.564
449.00,41.578
450.00,41.521
451.00,41.556
452.00,41.515
453.00,41.502
454.00,41.455
455.00,41.417
456.00,41.421
457.00,41.459
458.00,41.473
459.00,41.477
460.00,41.422
461.00,41.388
462.00,41.340
463.00,41.315
464.00,41.286
465.00,41.262
466.00,41.261
467.00,41.293
468.00,41.290
469.00,41.311
470.00,41.297
471.00,41.276
472.00,41.206
473.00,41.137
474.00,41.114
475.00,41.073
476.00,41.032
477.00,40.984
478.00,40.954
479.00,40.937
480.00,40.911
481.00,40.907
482.00,40.912
483.00,40.882
484.00,40.866
485.00,40.799
486.00,40.809
487.00,40.766
488.00,40.788
489.00,40.752
490.00,40.760
491.00,40.746
492.00,40.741
493.00,40.712
494.00,40.704
495.00,40.684
496.00,40.671
497.00,40.648
498.00,40.637
499.00,40.617
500.00,40.590
501.00,40.572
502.00,40.532
503.00,40.511
504.00,40.470
505.00,40.448
506.00,40.418
507.00,40.413
508.00,40.423
509.00,40.383
510.00,40.373
511.00,40.343
512.00,40.317
513.00,40.250
514.00,40.222
515.00,40.206
516.00,40.213
517.00,40.200
518.00,40.184
519.00,40.133
520.00,40.107
521.00,40.098
522.00,40.087
523.00,40.065
524.00,40.037
525.00,40.043
526.00,40.015
527.00,39.996
528.00,39.942
529.00,39.910
530.00,39.858
531.00,39.842
532.00,39.808
533.00,39.792
534.00,39.757
535.00,39.750
536.00,39.720
537.00,39.688
538.00,39.636
539.00,39.628
540.00,39.583
541.00,39.583
542.00,39.531
543.00,39.522
544.00,39.485
545.00,39.466
546.00,39.478
547.00,39.452
548.00,39.405
549.00,39.365
550.00,39.328
551.00,39.366
552.00,39.311
553.00,39.290
554.00,39.233
555.00,39.186
556.00,39.165
557.00,39.109
558.00,39.136
559.00,39.121
560.00,39.096
561.00,39.063
562.00,39.024
563.00,39.033
564.00,39.011
565.00,38.975
566.00,38.931
567.00,38.915
568.00,38.919
569.00,38.892
570.00,38.840
571.00,38.796
572.00,38.782
573.00,38.756
574.00,38.738
575.00,38.715
576.00,38.698
577.00,38.674
578.00,38.655
579.00,38.605
580.00,38.581
581.00,38.556
582.00,38.542
583.00,38.506
584.00,38.471
585.00,38.454
586.00,38.430
587.00,38.398
588.00,38.362
589.00,38.336
590.00,38.280
591.00,38.253
592.00,38.209
593.00,38.190
594.00,38.186
595.00,38.165
596.00,38.157
597.00,38.110
598.00,38.112
599.00,38.088
600.00,38.071
601.00,38.016
602.00,37.974
603.00,37.943
604.00,37.891
605.00,37.863
606.00,37.829
607.00,37.809
608.00,37.790
609.00,37.762
610.00,37.747
611.00,37.713
612.00,37.669
613.00,37.627
614.00,37.628
615.00,37.621
616.00,37.623
617.00,37.559
618.00,37.500
619.00,37.456
620.00,37.414
621.00,37.410
622.00,37.355
623.00,37.346
624.00,37.339
625.00,37.341
626.00,37.307
627.00,37.250
628.00,37.234
629.00,37.219
630.00,37.178
631.00,37.176
632.00,37.102
633.00,37.096
634.00,37.004
635.00,37.012
636.00,36.988
637.00,36.985
638.00,36.993
639.00,36.948
640.00,36.914
641.00,36.869
642.00,36.831
643.00,36.766
644.00,36.688
645.00,36.698
646.00,36.701
647.00,36.699
648.00,36.630
649.00,36.632
650.00,36.587
651.00,36.555
652.00,36.494
653.00,36.478
654.00,36.473
655.00,36.404
656.00,36.372
657.00,36.314
658.00,36.338
659.00,36.319
660.00,36.332
661.00,36.322
662.00,36.284
663.00,36.210
664.00,36.151
665.00,36.114
666.00,36.146
667.00,36.081
668.00,36.095
669.00,36.070
670.00,36.082
671.00,36.031
672.00,35.958
673.00,35.890
674.00,35.855
675.00,35.823
676.00,35.833
677.00,35.772
678.00,35.743
679.00,35.754
680.00,35.757
681.00,35.733
682.00,35.673
683.00,35.665
684.00,35.668
685.00,35.640
686.00,35.577
687.00,35.564
688.00,35.537
689.00,35.509
690.00,35.449
691.00,35.394
692.00,35.356
693.00,35.338
694.00,35.309
695.00,35.283
696.00,35.235
697.00,35.247
698.00,35.266
699.00,35.226
700.00,35.150
701.00,35.117
702.00,35.085
703.00,35.119
704.00,35.091
705.00,35.056
706.00,34.990
707.00,34.946
708.00,34.910
709.00,34.898
710.00,34.870
711.00,34.872
712.00,34.842
713.00,34.819
714.00,34.788
715.00,34.725
716.00,34.707
717.00,34.647
718.00,34.630
719.00,34.550
720.00,34.518
721.00,34.509
722.00,34.488
723.00,34.505
724.00,34.470
725.00,34.467
726.00,34.488
727.00,34.449
728.00,34.434
729.00,34.377
730.00,34.332
731.00,34.335
732.00,34.273
733.00,34.280
734.00,34.201
735.00,34.102
736.00,34.093
737.00,34.057
738.00,34.084
739.00,34.006
740.00,33.930
741.00,33.924
742.00,33.952
743.00,34.053
744.00,34.020
745.00,33.959
746.00,33.882
747.00,33.856
748.00,33.820
749.00,33.820
750.00,33.852
751.00,33.818
752.00,33.757
753.00,33.709
754.00,33.698
755.00,33.638
756.00,33.547
757.00,33.496
758.00,33.461
759.00,33.495
760.00,33.451
761.00,33.503
762.00,33.461
763.00,33.481
764.00,33.458
765.00,33.381
766.00,33.374
767.00,33.245
768.00,33.263
769.00,33.165
770.00,33.136
771.00,33.054
772.00,33.079
773.00,33.195
774.00,33.252
775.00,33.152
776.00,33.093
777.00,33.045
778.00,33.049
779.00,32.976
780.00,32.980
781.00,33.047
782.00,32.971
783.00,32.942
784.00,32.869
785.00,32.894
786.00,32.795
787.00,32.724
788.00,32.670
789.00,32.727
790.00,32.717
791.00,32.703
792.00,32.565
793.00,32.511
794.00,32.457
795.00,32.488
796.00,32.479
797.00,32.480
798.00,32.394
799.00,32.349
800.00,32.271
801.00,32.357
802.00,32.361
803.00,32.399
804.00,32.359
805.00,32.327
806.00,32.315
807.00,32.229
808.00,32.248
809.00,32.195
810.00,32.157
811.00,32.109
812.00,32.053
813.00,32.084
814.00,32.066
815.00,32.079
816.00,32.039
817.00,31.966
818.00,31.963
819.00,31.881
820.00,31.882
821.00,31.723
822.00,31.759
823.00,31.694
824.00,31.781
825.00,31.738
826.00,31.793
827.00,31.670
828.00,31.680
829.00,31.752
830.00,31.625
831.00,31.362
832.00,31.026
833.00,30.965
834.00,30.978
835.00,31.017
836.00,31.108
837.00,31.097
838.00,31.051
839.00,30.972
840.00,31.012
841.00,31.010
842.00,30.974
843.00,30.914
844.00,30.843
845.00,30.816
846.00,30.770
847.00,30.793
848.00,30.812
849.00,30.795
850.00,30.808
851.00,30.844
852.00,30.858
853.00,30.761
854.00,30.713
855.00,30.643
856.00,30.607
857.00,30.572
858.00,30.557
859.00,30.582
860.00,30.603
861.00,30.532
862.00,30.572
863.00,30.510
864.00,30.545
865.00,30.452
866.00,30.402
867.00,30.382
868.00,30.302
869.00,30.329
870.00,30.292
871.00,30.360
872.00,30.309
873.00,30.307
874.00,30.276
875.00,30.205
876.00,30.178
877.00,30.116
878.00,30.108
879.00,30.116
880.00,30.102
881.00,30.081
882.00,30.068
883.00,30.081
884.00,30.139
885.00,30.046
886.00,29.993
887.00,29.967
888.00,29.982
889.00,29.971
890.00,29.901
891.00,29.914
892.00,29.892
893.00,29.899
894.00,29.816
895.00,29.763
896.00,29.741
897.00,29.726
898.00,29.700
899.00,29.660
900.00,29.672
901.00,29.658
