"Ttot_PMMA_1fv_CaCO3 - RawData"
"Wavelength nm.","T%"
220.00,0.164
221.00,0.155
222.00,0.149
223.00,0.137
224.00,0.138
225.00,0.130
226.00,0.120
227.00,0.098
228.00,0.099
229.00,0.116
230.00,0.128
231.00,0.106
232.00,0.093
233.00,0.082
234.00,0.094
235.00,0.081
236.00,0.069
237.00,0.064
238.00,0.083
239.00,0.083
240.00,0.067
241.00,0.045
242.00,0.042
243.00,0.051
244.00,0.054
245.00,0.044
246.00,0.034
247.00,0.032
248.00,0.039
249.00,0.043
250.00,0.039
251.00,0.045
252.00,0.044
253.00,0.043
254.00,0.031
255.00,0.022
256.00,0.019
257.00,0.021
258.00,0.024
259.00,0.025
260.00,0.024
261.00,0.024
262.00,0.023
263.00,0.019
264.00,0.014
265.00,0.012
266.00,0.017
267.00,0.021
268.00,0.020
269.00,0.020
270.00,0.016
271.00,0.016
272.00,0.015
273.00,0.017
274.00,0.017
275.00,0.025
276.00,0.029
277.00,0.029
278.00,0.027
279.00,0.021
280.00,0.021
281.00,0.016
282.00,0.020
283.00,0.022
284.00,0.021
285.00,0.016
286.00,0.015
287.00,0.012
288.00,0.012
289.00,0.011
290.00,0.014
291.00,0.016
292.00,0.018
293.00,0.021
294.00,0.025
295.00,0.024
296.00,0.026
297.00,0.031
298.00,0.046
299.00,0.072
300.00,0.108
301.00,0.160
302.00,0.229
303.00,0.335
304.00,0.480
305.00,0.683
306.00,0.956
307.00,1.299
308.00,1.736
309.00,2.263
310.00,2.928
311.00,3.703
312.00,4.644
313.00,5.717
314.00,6.952
315.00,8.289
316.00,9.795
317.00,11.391
318.00,13.163
319.00,15.060
320.00,17.121
321.00,19.228
322.00,21.395
323.00,23.781
324.00,26.218
325.00,28.777
326.00,31.073
327.00,33.425
328.00,35.744
329.00,38.125
330.00,40.438
331.00,42.535
332.00,44.681
333.00,46.626
334.00,48.585
335.00,50.425
336.00,52.204
337.00,53.949
338.00,55.433
339.00,57.003
340.00,58.463
341.00,59.858
342.00,61.119
343.00,62.190
344.00,63.259
345.00,64.103
346.00,65.081
347.00,65.931
348.00,66.806
349.00,67.627
350.00,68.331
351.00,69.022
352.00,69.544
353.00,70.057
354.00,70.589
355.00,71.106
356.00,71.597
357.00,72.071
358.00,72.299
359.00,72.630
360.00,72.797
361.00,73.063
362.00,73.306
363.00,73.483
364.00,73.727
365.00,73.930
366.00,74.154
367.00,74.294
368.00,74.290
369.00,74.494
370.00,74.605
371.00,74.794
372.00,74.636
373.00,74.627
374.00,74.600
375.00,74.642
376.00,74.509
377.00,74.346
378.00,74.264
379.00,74.202
380.00,74.124
381.00,74.118
382.00,74.206
383.00,74.369
384.00,74.472
385.00,74.655
386.00,74.756
387.00,74.978
388.00,75.111
389.00,75.372
390.00,75.513
391.00,75.615
392.00,75.658
393.00,75.805
394.00,75.981
395.00,76.098
396.00,76.224
397.00,76.329
398.00,76.445
399.00,76.522
400.00,76.635
401.00,76.748
402.00,76.810
403.00,76.797
404.00,76.821
405.00,76.825
406.00,76.832
407.00,76.812
408.00,76.768
409.00,76.786
410.00,76.842
411.00,76.826
412.00,76.794
413.00,76.730
414.00,76.692
415.00,76.692
416.00,76.737
417.00,76.833
418.00,76.884
419.00,76.925
420.00,76.886
421.00,76.892
422.00,76.884
423.00,76.939
424.00,76.906
425.00,76.957
426.00,76.942
427.00,76.990
428.00,76.946
429.00,77.013
430.00,77.019
431.00,76.981
432.00,76.933
433.00,76.894
434.00,76.947
435.00,76.938
436.00,76.999
437.00,77.022
438.00,77.023
439.00,77.096
440.00,77.120
441.00,77.172
442.00,77.110
443.00,77.042
444.00,77.086
445.00,77.135
446.00,77.240
447.00,77.319
448.00,77.287
449.00,77.292
450.00,77.205
451.00,77.285
452.00,77.312
453.00,77.363
454.00,77.322
455.00,77.370
456.00,77.373
457.00,77.416
458.00,77.383
459.00,77.439
460.00,77.447
461.00,77.463
462.00,77.450
463.00,77.486
464.00,77.477
465.00,77.533
466.00,77.548
467.00,77.672
468.00,77.671
469.00,77.732
470.00,77.740
471.00,77.739
472.00,77.764
473.00,77.731
474.00,77.762
475.00,77.725
476.00,77.745
477.00,77.777
478.00,77.830
479.00,77.862
480.00,77.919
481.00,77.972
482.00,78.002
483.00,77.968
484.00,77.930
485.00,77.961
486.00,78.004
487.00,78.003
488.00,77.951
489.00,77.940
490.00,78.006
491.00,78.042
492.00,78.092
493.00,78.081
494.00,78.134
495.00,78.125
496.00,78.149
497.00,78.135
498.00,78.162
499.00,78.170
500.00,78.183
501.00,78.152
502.00,78.160
503.00,78.213
504.00,78.277
505.00,78.273
506.00,78.214
507.00,78.176
508.00,78.210
509.00,78.222
510.00,78.200
511.00,78.197
512.00,78.256
513.00,78.295
514.00,78.334
515.00,78.356
516.00,78.413
517.00,78.391
518.00,78.380
519.00,78.311
520.00,78.297
521.00,78.243
522.00,78.257
523.00,78.264
524.00,78.254
525.00,78.317
526.00,78.307
527.00,78.362
528.00,78.293
529.00,78.262
530.00,78.241
531.00,78.272
532.00,78.309
533.00,78.315
534.00,78.296
535.00,78.309
536.00,78.321
537.00,78.377
538.00,78.391
539.00,78.399
540.00,78.379
541.00,78.384
542.00,78.380
543.00,78.399
544.00,78.436
545.00,78.429
546.00,78.408
547.00,78.386
548.00,78.388
549.00,78.421
550.00,78.438
551.00,78.478
552.00,78.481
