"Rtot_MezclaToluenoCaCO3 - RawData"
"Wavelength nm.","R%"
220.00,11.232
221.00,11.236
222.00,11.241
223.00,11.225
224.00,11.265
225.00,11.239
226.00,11.238
227.00,11.265
228.00,11.326
229.00,11.363
230.00,11.382
231.00,11.359
232.00,11.370
233.00,11.305
234.00,11.332
235.00,11.372
236.00,11.426
237.00,11.479
238.00,11.569
239.00,11.684
240.00,11.816
241.00,11.882
242.00,11.981
243.00,12.098
244.00,12.267
245.00,12.396
246.00,12.508
247.00,12.628
248.00,12.779
249.00,12.933
250.00,13.094
251.00,13.263
252.00,13.427
253.00,13.529
254.00,13.633
255.00,13.735
256.00,13.830
257.00,13.872
258.00,13.938
259.00,14.005
260.00,14.088
261.00,14.179
262.00,14.231
263.00,14.273
264.00,14.238
265.00,14.233
266.00,14.300
267.00,14.295
268.00,14.330
269.00,14.207
270.00,14.237
271.00,14.239
272.00,14.313
273.00,14.294
274.00,14.241
275.00,14.193
276.00,14.150
277.00,14.169
278.00,14.213
279.00,14.210
280.00,14.158
281.00,14.107
282.00,14.090
283.00,14.072
284.00,14.010
285.00,13.958
286.00,13.933
287.00,13.951
288.00,13.957
289.00,13.992
290.00,14.049
291.00,14.182
292.00,14.271
293.00,14.362
294.00,14.392
295.00,14.509
296.00,14.573
297.00,14.641
298.00,14.699
299.00,14.730
300.00,14.804
301.00,14.780
302.00,14.827
303.00,14.864
304.00,14.923
305.00,14.671
306.00,14.415
307.00,14.196
308.00,14.267
309.00,14.382
310.00,14.518
311.00,14.715
312.00,14.932
313.00,15.221
314.00,15.636
315.00,16.064
316.00,16.675
317.00,17.303
318.00,18.205
319.00,19.115
320.00,20.144
321.00,21.319
322.00,22.666
323.00,24.118
324.00,25.677
325.00,27.271
326.00,29.116
327.00,31.024
328.00,33.136
329.00,35.220
330.00,37.359
331.00,39.337
332.00,41.441
333.00,43.487
334.00,45.598
335.00,47.523
336.00,49.393
337.00,51.221
338.00,53.025
339.00,54.759
340.00,56.499
341.00,58.185
342.00,59.757
343.00,61.141
344.00,62.363
345.00,63.473
346.00,64.657
347.00,65.666
348.00,66.713
349.00,67.546
350.00,68.538
351.00,69.308
352.00,70.094
353.00,70.735
354.00,71.361
355.00,71.885
356.00,72.454
357.00,72.911
358.00,73.323
359.00,73.681
360.00,74.145
361.00,74.528
362.00,74.793
363.00,75.001
364.00,75.246
365.00,75.523
366.00,75.740
367.00,75.836
368.00,75.843
369.00,75.871
370.00,75.996
371.00,76.052
372.00,75.832
373.00,75.527
374.00,75.126
375.00,74.849
376.00,74.572
377.00,74.371
378.00,74.233
379.00,74.168
380.00,74.190
381.00,74.284
382.00,74.436
383.00,74.547
384.00,74.803
385.00,75.016
386.00,75.368
387.00,75.571
388.00,75.712
389.00,75.872
390.00,76.034
391.00,76.340
392.00,76.482
393.00,76.618
394.00,76.715
395.00,76.807
396.00,76.907
397.00,76.897
398.00,76.907
399.00,76.961
400.00,76.924
401.00,76.999
402.00,76.971
403.00,77.024
404.00,77.008
405.00,76.979
406.00,76.934
407.00,76.820
408.00,76.748
409.00,76.721
410.00,76.666
411.00,76.663
412.00,76.623
413.00,76.598
414.00,76.580
415.00,76.517
416.00,76.481
417.00,76.384
418.00,76.451
419.00,76.416
420.00,76.430
421.00,76.362
422.00,76.324
423.00,76.298
424.00,76.167
425.00,76.224
426.00,76.134
427.00,76.150
428.00,76.019
429.00,76.002
430.00,75.957
431.00,75.927
432.00,75.838
433.00,75.790
434.00,75.750
435.00,75.782
436.00,75.791
437.00,75.792
438.00,75.744
439.00,75.683
440.00,75.683
441.00,75.675
442.00,75.676
443.00,75.680
444.00,75.671
445.00,75.633
446.00,75.588
447.00,75.578
448.00,75.556
449.00,75.513
450.00,75.558
451.00,75.590
452.00,75.611
453.00,75.580
454.00,75.611
455.00,75.660
456.00,75.648
457.00,75.631
458.00,75.575
459.00,75.586
460.00,75.614
461.00,75.627
462.00,75.591
463.00,75.507
464.00,75.477
465.00,75.444
466.00,75.400
467.00,75.378
468.00,75.365
469.00,75.414
470.00,75.385
471.00,75.384
472.00,75.366
473.00,75.308
474.00,75.290
475.00,75.259
476.00,75.280
