"Rtot_PMMApaint_CaCO3_15vv - RawData"
"Wavelength nm.","R%"
220.00,11.396
221.00,11.404
222.00,11.431
223.00,11.470
224.00,11.496
225.00,11.503
226.00,11.440
227.00,11.419
228.00,11.439
229.00,11.504
230.00,11.575
231.00,11.524
232.00,11.589
233.00,11.549
234.00,11.622
235.00,11.635
236.00,11.649
237.00,11.664
238.00,11.730
239.00,11.832
240.00,12.015
241.00,12.087
242.00,12.233
243.00,12.318
244.00,12.448
245.00,12.557
246.00,12.743
247.00,12.920
248.00,13.108
249.00,13.219
250.00,13.331
251.00,13.460
252.00,13.593
253.00,13.724
254.00,13.835
255.00,13.889
256.00,13.977
257.00,14.038
258.00,14.119
259.00,14.193
260.00,14.273
261.00,14.387
262.00,14.475
263.00,14.542
264.00,14.518
265.00,14.515
266.00,14.544
267.00,14.592
268.00,14.554
269.00,14.494
270.00,14.463
271.00,14.501
272.00,14.495
273.00,14.464
274.00,14.418
275.00,14.406
276.00,14.343
277.00,14.363
278.00,14.339
279.00,14.403
280.00,14.336
281.00,14.329
282.00,14.262
283.00,14.253
284.00,14.246
285.00,14.264
286.00,14.275
287.00,14.235
288.00,14.254
289.00,14.248
290.00,14.329
291.00,14.417
292.00,14.547
293.00,14.653
294.00,14.678
295.00,14.713
296.00,14.775
297.00,14.837
298.00,14.916
299.00,14.931
300.00,14.976
301.00,15.038
302.00,15.083
303.00,15.189
304.00,15.202
305.00,14.965
306.00,14.660
307.00,14.444
308.00,14.497
309.00,14.636
310.00,14.790
311.00,14.999
312.00,15.234
313.00,15.490
314.00,15.894
315.00,16.295
316.00,16.885
317.00,17.516
318.00,18.386
319.00,19.346
320.00,20.406
321.00,21.636
322.00,22.977
323.00,24.452
324.00,26.080
325.00,27.833
326.00,29.808
327.00,31.872
328.00,34.001
329.00,36.248
330.00,38.513
331.00,40.726
332.00,42.973
333.00,45.147
334.00,47.398
335.00,49.588
336.00,51.798
337.00,53.860
338.00,55.865
339.00,57.718
340.00,59.682
341.00,61.427
342.00,63.294
343.00,64.845
344.00,66.386
345.00,67.664
346.00,69.059
347.00,70.378
348.00,71.625
349.00,72.763
350.00,73.775
351.00,74.766
352.00,75.701
353.00,76.540
354.00,77.392
355.00,78.071
356.00,78.835
357.00,79.321
358.00,79.914
359.00,80.423
360.00,80.992
361.00,81.498
362.00,81.887
363.00,82.234
364.00,82.571
365.00,82.844
366.00,83.074
367.00,83.255
368.00,83.479
369.00,83.734
370.00,83.919
371.00,83.927
372.00,83.856
373.00,83.623
374.00,83.445
375.00,83.280
376.00,83.119
377.00,83.033
378.00,82.882
379.00,82.921
380.00,82.963
381.00,83.147
382.00,83.373
383.00,83.745
384.00,84.093
385.00,84.535
386.00,84.876
387.00,85.281
388.00,85.468
389.00,85.704
390.00,85.900
391.00,86.258
392.00,86.556
393.00,86.800
394.00,87.038
395.00,87.165
396.00,87.329
397.00,87.339
398.00,87.468
399.00,87.545
400.00,87.615
401.00,87.698
402.00,87.718
403.00,87.862
404.00,87.876
405.00,87.973
406.00,87.872
407.00,87.880
408.00,87.859
409.00,87.918
410.00,87.904
411.00,87.879
412.00,87.778
413.00,87.758
414.00,87.822
415.00,87.883
416.00,87.927
417.00,87.864
418.00,87.916
419.00,87.880
420.00,87.890
421.00,87.830
422.00,87.858
423.00,87.838
424.00,87.835
425.00,87.888
426.00,87.905
427.00,88.001
428.00,87.924
429.00,87.965
430.00,87.927
431.00,87.909
432.00,87.877
433.00,87.803
434.00,87.810
435.00,87.823
436.00,87.889
437.00,87.911
438.00,87.869
439.00,87.849
440.00,87.883
441.00,87.933
442.00,87.977
443.00,88.056
444.00,88.107
445.00,88.103
446.00,88.093
447.00,88.061
448.00,88.088
449.00,88.084
450.00,88.149
451.00,88.202
452.00,88.254
453.00,88.292
454.00,88.388
455.00,88.431
456.00,88.479
457.00,88.481
458.00,88.460
459.00,88.446
460.00,88.491
461.00,88.605
462.00,88.677
463.00,88.704
464.00,88.675
465.00,88.666
466.00,88.610
467.00,88.655
468.00,88.656
469.00,88.698
470.00,88.641
471.00,88.659
472.00,88.746
473.00,88.722
474.00,88.740
475.00,88.716
476.00,88.733
477.00,88.755
478.00,88.671
479.00,88.704
480.00,88.612
481.00,88.582
482.00,88.606
483.00,88.618
484.00,88.689
485.00,88.655
486.00,88.680
487.00,88.668
488.00,88.612
489.00,88.605
490.00,88.581
491.00,88.661
492.00,88.675
493.00,88.655
494.00,88.655
495.00,88.575
496.00,88.547
497.00,88.622
498.00,88.686
499.00,88.701
500.00,88.600
501.00,88.617
502.00,88.640
503.00,88.656
504.00,88.693
505.00,88.751
506.00,88.812
507.00,88.802
508.00,88.758
509.00,88.679
510.00,88.611
511.00,88.612
512.00,88.542
513.00,88.503
514.00,88.446
515.00,88.414
516.00,88.489
517.00,88.498
518.00,88.525
519.00,88.518
520.00,88.509
521.00,88.552
522.00,88.540
523.00,88.595
524.00,88.587
525.00,88.533
526.00,88.534
527.00,88.468
528.00,88.460
529.00,88.398
530.00,88.413
531.00,88.409
532.00,88.339
533.00,88.317
534.00,88.305
535.00,88.316
536.00,88.317
537.00,88.299
538.00,88.385
539.00,88.343
540.00,88.310
541.00,88.241
542.00,88.276
543.00,88.245
544.00,88.134
545.00,88.190
546.00,88.128
547.00,88.124
548.00,88.084
549.00,88.124
550.00,88.139
551.00,87.985
552.00,87.989
553.00,87.974
554.00,88.041
555.00,88.023
556.00,88.015
557.00,88.045
558.00,88.029
559.00,88.003
560.00,87.967
561.00,87.916
562.00,87.899
563.00,87.852
564.00,87.859
565.00,87.846
566.00,87.790
567.00,87.756
568.00,87.739
569.00,87.719
570.00,87.701
571.00,87.627
572.00,87.627
573.00,87.599
574.00,87.631
575.00,87.589
576.00,87.558
577.00,87.530
578.00,87.475
579.00,87.422
580.00,87.346
581.00,87.312
582.00,87.361
583.00,87.327
584.00,87.345
585.00,87.219
586.00,87.191
587.00,87.193
588.00,87.171
589.00,87.145
590.00,87.096
591.00,87.115
592.00,87.150
593.00,87.099
594.00,87.045
595.00,86.963
596.00,86.943
597.00,86.982
598.00,87.002
599.00,87.024
600.00,86.939
601.00,86.937
602.00,86.874
603.00,86.863
604.00,86.764
605.00,86.680
606.00,86.689
607.00,86.658
608.00,86.661
609.00,86.614
610.00,86.606
611.00,86.584
612.00,86.491
613.00,86.458
614.00,86.397
615.00,86.382
616.00,86.386
617.00,86.293
618.00,86.282
619.00,86.162
620.00,86.233
621.00,86.211
622.00,86.236
623.00,86.166
624.00,86.193
625.00,86.107
626.00,86.089
627.00,85.994
628.00,86.001
629.00,85.963
630.00,85.923
631.00,85.905
632.00,85.922
633.00,85.813
634.00,85.748
635.00,85.652
636.00,85.699
637.00,85.661
638.00,85.647
639.00,85.634
640.00,85.574
641.00,85.521
642.00,85.430
643.00,85.392
644.00,85.406
645.00,85.434
646.00,85.457
647.00,85.355
648.00,85.262
649.00,85.201
650.00,85.160
651.00,85.132
652.00,85.118
653.00,85.129
654.00,85.044
655.00,84.985
656.00,84.987
657.00,84.996
658.00,85.033
659.00,84.938
660.00,84.897
661.00,84.721
662.00,84.625
663.00,84.615
664.00,84.652
665.00,84.639
666.00,84.673
667.00,84.624
668.00,84.671
669.00,84.630
670.00,84.630
671.00,84.540
672.00,84.448
673.00,84.445
674.00,84.470
675.00,84.481
676.00,84.484
677.00,84.504
678.00,84.364
679.00,84.264
680.00,84.148
681.00,84.159
682.00,84.096
683.00,83.998
684.00,83.959
685.00,83.886
686.00,83.850
687.00,83.747
688.00,83.775
689.00,83.828
690.00,83.909
691.00,83.889
692.00,83.780
693.00,83.646
694.00,83.529
695.00,83.472
696.00,83.472
697.00,83.462
698.00,83.456
699.00,83.443
700.00,83.428
701.00,83.385
702.00,83.339
703.00,83.217
704.00,83.106
705.00,83.072
706.00,83.097
707.00,83.129
708.00,83.071
709.00,83.037
710.00,82.974
711.00,82.907
712.00,82.913
713.00,82.919
714.00,82.902
715.00,82.723
716.00,82.643
717.00,82.619
718.00,82.699
719.00,82.750
720.00,82.745
721.00,82.715
722.00,82.617
723.00,82.596
724.00,82.546
725.00,82.420
726.00,82.299
727.00,82.213
728.00,82.242
729.00,82.241
730.00,82.195
731.00,82.195
732.00,82.246
733.00,82.206
734.00,82.117
735.00,81.883
736.00,81.864
737.00,81.817
738.00,81.856
739.00,81.777
740.00,81.813
741.00,81.703
742.00,81.805
743.00,81.689
744.00,81.743
745.00,81.478
746.00,81.460
747.00,81.411
748.00,81.392
749.00,81.331
750.00,81.234
751.00,81.206
752.00,81.076
753.00,80.924
754.00,81.018
755.00,81.178
756.00,81.266
757.00,81.172
758.00,81.039
759.00,81.011
