"Rtot_PMMApaint_CacO3_10vv - RawData"
"Wavelength nm.","R%"
220.00,10.648
221.00,10.619
222.00,10.529
223.00,10.509
224.00,10.541
225.00,10.600
226.00,10.616
227.00,10.600
228.00,10.587
229.00,10.600
230.00,10.618
231.00,10.665
232.00,10.693
233.00,10.716
234.00,10.729
235.00,10.769
236.00,10.762
237.00,10.791
238.00,10.859
239.00,10.947
240.00,11.100
241.00,11.191
242.00,11.332
243.00,11.429
244.00,11.551
245.00,11.662
246.00,11.803
247.00,11.936
248.00,12.105
249.00,12.236
250.00,12.383
251.00,12.503
252.00,12.602
253.00,12.660
254.00,12.779
255.00,12.878
256.00,12.974
257.00,13.032
258.00,13.111
259.00,13.244
260.00,13.319
261.00,13.345
262.00,13.386
263.00,13.405
264.00,13.448
265.00,13.414
266.00,13.487
267.00,13.509
268.00,13.527
269.00,13.451
270.00,13.458
271.00,13.501
272.00,13.496
273.00,13.400
274.00,13.329
275.00,13.301
276.00,13.345
277.00,13.314
278.00,13.319
279.00,13.287
280.00,13.287
281.00,13.230
282.00,13.215
283.00,13.196
284.00,13.216
285.00,13.182
286.00,13.165
287.00,13.138
288.00,13.184
289.00,13.218
290.00,13.283
291.00,13.337
292.00,13.406
293.00,13.475
294.00,13.543
295.00,13.623
296.00,13.709
297.00,13.751
298.00,13.811
299.00,13.811
300.00,13.838
301.00,13.886
302.00,13.952
303.00,14.044
304.00,14.067
305.00,13.829
306.00,13.530
307.00,13.283
308.00,13.294
309.00,13.366
310.00,13.445
311.00,13.599
312.00,13.737
313.00,13.836
314.00,14.033
315.00,14.235
316.00,14.584
317.00,14.914
318.00,15.385
319.00,15.956
320.00,16.529
321.00,17.225
322.00,17.933
323.00,18.730
324.00,19.653
325.00,20.595
326.00,21.732
327.00,22.891
328.00,24.166
329.00,25.492
330.00,26.832
331.00,28.099
332.00,29.436
333.00,30.775
334.00,32.209
335.00,33.564
336.00,34.814
337.00,36.034
338.00,37.372
339.00,38.613
340.00,39.869
341.00,40.900
342.00,42.044
343.00,43.037
344.00,44.044
345.00,44.899
346.00,45.866
347.00,46.806
348.00,47.700
349.00,48.437
350.00,49.110
351.00,49.826
352.00,50.423
353.00,51.061
354.00,51.719
355.00,52.382
356.00,52.927
357.00,53.362
358.00,53.854
359.00,54.325
360.00,54.820
361.00,55.293
362.00,55.702
363.00,56.002
364.00,56.333
365.00,56.567
366.00,56.860
367.00,57.043
368.00,57.326
369.00,57.633
370.00,57.920
371.00,58.130
372.00,57.924
373.00,57.658
374.00,57.354
375.00,57.355
376.00,57.300
377.00,57.258
378.00,57.190
379.00,57.217
380.00,57.293
381.00,57.492
382.00,57.811
383.00,58.091
384.00,58.419
385.00,58.720
386.00,59.015
387.00,59.260
388.00,59.420
389.00,59.668
390.00,59.920
391.00,60.172
392.00,60.375
393.00,60.494
394.00,60.695
395.00,60.843
396.00,61.029
397.00,61.133
398.00,61.254
399.00,61.364
400.00,61.450
401.00,61.542
402.00,61.630
403.00,61.688
404.00,61.774
405.00,61.793
406.00,61.820
407.00,61.814
408.00,61.870
409.00,61.932
410.00,61.919
411.00,61.896
412.00,61.866
413.00,61.895
414.00,61.947
415.00,61.981
416.00,61.974
417.00,61.922
418.00,61.986
419.00,61.986
420.00,62.047
421.00,62.029
422.00,62.072
423.00,62.099
424.00,62.073
425.00,62.151
426.00,62.182
427.00,62.256
428.00,62.241
429.00,62.230
430.00,62.241
431.00,62.220
432.00,62.207
433.00,62.225
434.00,62.203
435.00,62.281
436.00,62.254
437.00,62.329
438.00,62.290
439.00,62.268
440.00,62.308
441.00,62.378
442.00,62.484
443.00,62.484
444.00,62.467
445.00,62.431
446.00,62.453
447.00,62.435
448.00,62.500
449.00,62.502
450.00,62.587
451.00,62.624
452.00,62.698
453.00,62.717
454.00,62.724
455.00,62.780
456.00,62.829
457.00,62.894
458.00,62.866
459.00,62.855
460.00,62.888
461.00,62.912
462.00,62.919
463.00,62.868
464.00,62.813
465.00,62.840
466.00,62.856
467.00,62.916
468.00,62.936
469.00,62.958
470.00,62.950
471.00,62.920
472.00,62.898
473.00,62.924
474.00,62.954
475.00,63.001
476.00,63.026
477.00,63.029
478.00,63.004
479.00,63.008
480.00,63.019
481.00,63.009
482.00,63.035
483.00,63.036
484.00,63.081
485.00,63.056
486.00,63.029
487.00,63.044
488.00,63.009
489.00,63.032
490.00,62.999
491.00,63.032
492.00,63.059
493.00,63.050
494.00,63.025
495.00,62.955
496.00,62.925
497.00,62.936
498.00,62.946
499.00,62.956
500.00,62.946
501.00,62.976
502.00,62.992
503.00,62.976
504.00,62.976
505.00,62.982
506.00,63.038
507.00,63.054
508.00,63.004
509.00,62.970
510.00,62.916
511.00,62.955
512.00,62.903
513.00,62.895
514.00,62.869
515.00,62.886
516.00,62.931
517.00,62.961
518.00,62.976
519.00,62.955
520.00,62.926
521.00,62.899
522.00,62.923
523.00,62.929
524.00,62.970
525.00,62.912
526.00,62.937
527.00,62.937
528.00,62.965
529.00,62.913
530.00,62.911
531.00,62.875
532.00,62.884
533.00,62.831
534.00,62.822
535.00,62.771
536.00,62.746
537.00,62.704
538.00,62.743
539.00,62.682
540.00,62.679
541.00,62.611
542.00,62.596
543.00,62.567
544.00,62.511
545.00,62.595
546.00,62.536
547.00,62.572
548.00,62.539
549.00,62.578
550.00,62.615
551.00,62.565
552.00,62.585
553.00,62.571
554.00,62.579
555.00,62.578
556.00,62.494
557.00,62.493
558.00,62.401
559.00,62.364
560.00,62.309
561.00,62.225
562.00,62.178
563.00,62.122
564.00,62.140
565.00,62.100
566.00,62.023
567.00,62.000
568.00,62.006
569.00,62.031
570.00,62.052
571.00,62.026
572.00,62.052
573.00,62.022
574.00,62.056
575.00,62.043
576.00,62.029
577.00,62.035
578.00,61.951
579.00,61.925
580.00,61.841
581.00,61.791
582.00,61.799
583.00,61.741
584.00,61.770
585.00,61.704
586.00,61.697
587.00,61.702
588.00,61.647
589.00,61.673
590.00,61.621
591.00,61.637
592.00,61.594
593.00,61.577
594.00,61.579
595.00,61.582
596.00,61.583
597.00,61.566
598.00,61.538
599.00,61.544
600.00,61.521
601.00,61.520
602.00,61.471
603.00,61.412
604.00,61.388
605.00,61.330
606.00,61.297
607.00,61.248
608.00,61.193
609.00,61.191
610.00,61.121
611.00,61.153
612.00,61.115
613.00,61.102
614.00,61.068
615.00,60.970
616.00,61.004
617.00,60.951
618.00,60.958
619.00,60.895
620.00,60.886
621.00,60.884
622.00,60.863
623.00,60.803
624.00,60.802
625.00,60.712
626.00,60.718
627.00,60.688
628.00,60.706
629.00,60.684
630.00,60.618
631.00,60.617
632.00,60.577
633.00,60.522
634.00,60.467
635.00,60.419
636.00,60.459
637.00,60.427
638.00,60.399
639.00,60.367
640.00,60.306
641.00,60.279
642.00,60.214
643.00,60.176
644.00,60.165
645.00,60.110
646.00,60.111
647.00,60.058
648.00,60.062
649.00,60.075
650.00,60.051
651.00,60.033
652.00,59.987
653.00,59.931
654.00,59.901
655.00,59.839
656.00,59.878
657.00,59.911
658.00,59.930
659.00,59.917
660.00,59.813
661.00,59.673
662.00,59.585
663.00,59.548
664.00,59.585
665.00,59.572
666.00,59.597
667.00,59.594
668.00,59.540
669.00,59.503
670.00,59.506
671.00,59.474
672.00,59.423
673.00,59.363
674.00,59.368
675.00,59.296
676.00,59.224
677.00,59.204
678.00,59.114
679.00,59.112
680.00,59.075
681.00,59.149
682.00,59.131
683.00,59.047
684.00,59.011
685.00,58.942
686.00,58.951
687.00,58.905
688.00,58.859
689.00,58.808
690.00,58.776
691.00,58.771
692.00,58.764
693.00,58.705
694.00,58.671
695.00,58.623
696.00,58.615
697.00,58.648
698.00,58.614
699.00,58.624
700.00,58.571
701.00,58.561
702.00,58.488
703.00,58.380
704.00,58.300
705.00,58.240
706.00,58.199
707.00,58.214
708.00,58.195
709.00,58.171
710.00,58.146
711.00,58.082
712.00,58.076
713.00,57.981
714.00,58.015
715.00,57.952
716.00,57.976
717.00,57.940
718.00,57.941
719.00,57.895
720.00,57.881
721.00,57.855
722.00,57.891
723.00,57.893
724.00,57.854
725.00,57.770
726.00,57.707
727.00,57.708
728.00,57.630
729.00,57.538
730.00,57.492
731.00,57.518
732.00,57.550
733.00,57.451
734.00,57.349
735.00,57.286
736.00,57.224
737.00,57.214
738.00,57.107
739.00,57.130
740.00,57.136
741.00,57.231
742.00,57.312
743.00,57.250
744.00,57.216
745.00,57.149
746.00,57.067
747.00,56.982
748.00,56.936
749.00,56.884
750.00,56.878
751.00,56.763
752.00,56.775
753.00,56.642
754.00,56.571
755.00,56.702
756.00,56.703
757.00,56.706
758.00,56.544
759.00,56.472
760.00,56.385
761.00,56.245
762.00,56.176
763.00,56.210
764.00,56.332
765.00,56.300
766.00,56.242
767.00,56.025
768.00,55.935
769.00,55.863
770.00,55.785
771.00,55.792
772.00,55.708
773.00,55.710
774.00,55.684
775.00,55.620
776.00,55.527
777.00,55.510
778.00,55.543
779.00,55.717
780.00,55.765
781.00,55.736
782.00,55.609
783.00,55.551
784.00,55.541
785.00,55.472
786.00,55.309
787.00,55.201
788.00,55.207
789.00,55.199
790.00,55.215
791.00,55.197
792.00,55.213
793.00,55.169
794.00,55.023
795.00,54.948
796.00,54.782
797.00,54.808
798.00,54.714
799.00,54.896
800.00,54.991
801.00,55.260
802.00,55.332
803.00,55.260
804.00,55.182
805.00,55.047
806.00,55.022
807.00,54.952
808.00,55.005
809.00,54.996
810.00,55.010
811.00,54.860
812.00,54.786
813.00,54.443
814.00,54.552
815.00,54.384
816.00,54.585
817.00,54.460
818.00,54.532
819.00,54.347
820.00,54.341
821.00,54.218
822.00,54.182
823.00,54.203
824.00,54.296
825.00,54.418
826.00,54.379
827.00,54.549
828.00,54.591
829.00,54.513
830.00,54.175
831.00,53.951
832.00,53.805
833.00,53.800
834.00,53.772
835.00,53.747
836.00,53.607
837.00,53.602
838.00,53.596
839.00,53.671
