"Tdif_PMMApaint_15vv - RawData"
"Wavelength nm.","T%"
220.00,0.008
221.00,0.013
222.00,0.028
223.00,0.026
224.00,0.035
225.00,0.027
226.00,0.039
227.00,0.027
228.00,0.022
229.00,0.008
230.00,0.026
231.00,0.026
232.00,0.042
233.00,0.039
234.00,0.044
235.00,0.047
236.00,0.052
237.00,0.048
238.00,0.025
239.00,0.014
240.00,0.013
241.00,0.023
242.00,0.010
243.00,0.012
244.00,0.008
245.00,0.009
246.00,0.000
247.00,0.004
248.00,0.012
249.00,0.020
250.00,0.011
251.00,0.008
252.00,0.003
253.00,0.010
254.00,0.011
255.00,0.009
256.00,0.007
257.00,0.002
258.00,0.008
259.00,0.002
260.00,0.005
261.00,0.002
262.00,0.007
263.00,0.002
264.00,0.006
265.00,0.001
266.00,0.000
267.00,-0.003
268.00,0.003
269.00,0.004
270.00,0.002
271.00,0.002
272.00,0.005
273.00,0.006
274.00,0.004
275.00,-0.002
276.00,-0.002
277.00,-0.004
278.00,0.001
279.00,0.002
280.00,0.004
281.00,0.006
282.00,0.008
283.00,0.006
284.00,0.005
285.00,0.004
286.00,0.004
287.00,0.001
288.00,-0.002
289.00,-0.001
290.00,0.001
291.00,0.005
292.00,0.004
293.00,0.004
294.00,0.001
295.00,0.001
296.00,-0.001
297.00,0.000
298.00,0.002
299.00,0.005
300.00,0.006
301.00,0.005
302.00,0.004
303.00,0.004
304.00,0.003
305.00,0.003
306.00,0.003
307.00,0.002
308.00,0.006
309.00,0.010
310.00,0.015
311.00,0.016
312.00,0.021
313.00,0.025
314.00,0.032
315.00,0.042
316.00,0.055
317.00,0.068
318.00,0.082
319.00,0.098
320.00,0.120
321.00,0.145
322.00,0.172
323.00,0.211
324.00,0.259
325.00,0.310
326.00,0.363
327.00,0.410
328.00,0.478
329.00,0.541
330.00,0.618
331.00,0.696
332.00,0.777
333.00,0.865
334.00,0.941
335.00,1.045
336.00,1.145
337.00,1.254
338.00,1.348
339.00,1.441
340.00,1.537
341.00,1.644
342.00,1.748
343.00,1.871
344.00,1.964
345.00,2.082
346.00,2.178
347.00,2.290
348.00,2.375
349.00,2.468
350.00,2.564
351.00,2.662
352.00,2.754
353.00,2.847
354.00,2.957
355.00,3.070
356.00,3.165
357.00,3.245
358.00,3.318
