"Ttot_PMMApaint_CaCO3_15vv - RawData"
"Wavelength nm.","T%"
220.00,0.070
221.00,0.054
222.00,0.039
223.00,0.046
224.00,0.040
225.00,0.043
226.00,0.014
227.00,0.024
228.00,0.025
229.00,0.027
230.00,0.003
231.00,0.003
232.00,0.008
233.00,0.005
234.00,-0.007
235.00,-0.006
236.00,0.006
237.00,0.009
238.00,0.011
239.00,0.013
240.00,0.013
241.00,0.008
242.00,0.013
243.00,0.008
244.00,0.009
245.00,0.006
246.00,0.005
247.00,0.010
248.00,0.016
249.00,0.011
250.00,0.006
251.00,0.002
252.00,0.007
253.00,0.005
254.00,0.005
255.00,0.006
256.00,0.014
257.00,0.010
258.00,0.010
259.00,0.006
260.00,0.005
261.00,0.005
262.00,0.005
263.00,0.006
264.00,0.006
265.00,0.003
266.00,0.005
267.00,0.004
268.00,0.013
269.00,0.015
270.00,0.012
271.00,0.007
272.00,0.008
273.00,0.011
274.00,0.008
275.00,0.004
276.00,0.011
277.00,0.012
278.00,0.016
279.00,0.006
280.00,0.005
281.00,0.000
282.00,0.002
283.00,0.001
284.00,-0.000
285.00,0.002
286.00,0.001
287.00,0.002
288.00,-0.001
289.00,0.001
290.00,-0.000
291.00,0.004
292.00,0.002
293.00,0.008
294.00,0.005
295.00,0.006
296.00,0.003
297.00,0.003
298.00,0.000
299.00,-0.001
300.00,0.002
301.00,0.004
302.00,0.005
303.00,0.004
304.00,0.006
305.00,0.008
306.00,0.009
307.00,0.010
308.00,0.010
309.00,0.013
310.00,0.014
311.00,0.018
312.00,0.024
313.00,0.030
314.00,0.034
315.00,0.035
316.00,0.045
317.00,0.057
318.00,0.075
319.00,0.094
320.00,0.122
321.00,0.147
322.00,0.178
323.00,0.212
324.00,0.253
325.00,0.313
326.00,0.361
327.00,0.423
328.00,0.477
329.00,0.550
330.00,0.624
331.00,0.703
332.00,0.791
333.00,0.881
334.00,0.968
335.00,1.053
336.00,1.148
337.00,1.252
338.00,1.348
339.00,1.442
340.00,1.541
341.00,1.644
342.00,1.749
343.00,1.855
344.00,1.969
345.00,2.079
346.00,2.182
347.00,2.277
348.00,2.379
349.00,2.475
350.00,2.572
351.00,2.657
352.00,2.745
353.00,2.844
354.00,2.940
355.00,3.033
356.00,3.120
357.00,3.224
358.00,3.332
359.00,3.445
360.00,3.525
361.00,3.597
362.00,3.681
363.00,3.766
364.00,3.841
365.00,3.897
366.00,3.964
367.00,4.055
368.00,4.120
369.00,4.199
370.00,4.268
371.00,4.358
372.00,4.412
373.00,4.464
374.00,4.498
375.00,4.535
376.00,4.565
377.00,4.604
378.00,4.658
379.00,4.699
380.00,4.736
381.00,4.762
382.00,4.813
383.00,4.884
384.00,4.960
385.00,5.035
386.00,5.096
387.00,5.154
388.00,5.226
389.00,5.289
390.00,5.369
391.00,5.427
392.00,5.496
393.00,5.554
394.00,5.616
395.00,5.663
396.00,5.716
397.00,5.768
398.00,5.828
399.00,5.886
400.00,5.936
401.00,5.971
402.00,6.001
403.00,6.035
404.00,6.087
405.00,6.128
406.00,6.161
407.00,6.184
408.00,6.215
409.00,6.252
410.00,6.287
411.00,6.319
412.00,6.349
413.00,6.392
414.00,6.420
415.00,6.454
416.00,6.478
417.00,6.507
418.00,6.536
419.00,6.564
420.00,6.597
421.00,6.630
422.00,6.663
423.00,6.691
424.00,6.726
425.00,6.752
426.00,6.790
427.00,6.809
428.00,6.845
429.00,6.872
430.00,6.919
431.00,6.949
432.00,6.976
433.00,6.990
434.00,7.000
435.00,7.015
436.00,7.031
437.00,7.063
438.00,7.102
439.00,7.137
440.00,7.142
441.00,7.156
442.00,7.180
443.00,7.218
444.00,7.262
445.00,7.288
446.00,7.313
447.00,7.326
448.00,7.354
449.00,7.397
450.00,7.424
451.00,7.444
452.00,7.448
453.00,7.471
454.00,7.485
455.00,7.514
456.00,7.536
457.00,7.568
458.00,7.586
459.00,7.612
460.00,7.627
461.00,7.658
462.00,7.685
463.00,7.712
464.00,7.731
465.00,7.739
466.00,7.765
467.00,7.787
468.00,7.817
469.00,7.830
470.00,7.838
471.00,7.858
472.00,7.882
473.00,7.904
474.00,7.920
475.00,7.938
476.00,7.954
477.00,7.965
478.00,7.975
479.00,7.989
480.00,8.009
481.00,8.041
482.00,8.074
483.00,8.099
484.00,8.108
485.00,8.118
486.00,8.126
487.00,8.138
488.00,8.157
489.00,8.182
490.00,8.208
491.00,8.217
492.00,8.229
493.00,8.235
494.00,8.246
495.00,8.260
496.00,8.276
497.00,8.294
498.00,8.322
499.00,8.339
500.00,8.350
501.00,8.354
502.00,8.358
503.00,8.370
504.00,8.374
505.00,8.397
506.00,8.415
507.00,8.428
508.00,8.448
509.00,8.460
510.00,8.477
511.00,8.482
512.00,8.488
513.00,8.502
514.00,8.513
515.00,8.532
516.00,8.545
517.00,8.552
518.00,8.568
